First Name, The Social Network, A Prophet, Amour, The King's Speech, La La Land, Boyhood, Inception, A Separation, The Artist, The White Ribbon, Zero Dark Thirty, Avatar, Spotlight, Precious, The Tree of Life, 12 Years a Slave, Blue is the Warmest Colour, Son of Saul, Up in the Air, Inglourious Basterds, Mad Max: Fury Road, Moonlight, Birdman, Manchester by the Sea, Lincoln, Hugo, Toni Erdmann, The Shape of Water," Three Billboards Outside Ebbing, Missouri", Argo, Gravity, Black Swan, Ida, Leviathan, The Wolf of Wall Street, True Grit, The Descendants, The Secret in Their Eyes, Life of Pi, Arrival, Call Me by Your Name, Winter's Bone, The Grand Budapest Hotel, Dunkirk, Inside Llewyn Davis, A Serious Man, Toy Story 3, Beasts of the Southern Wild, The Imitation Game, The Fighter,,,,,,,
Xinyu,,,,5,4,2,5,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,4,,,,,,,,
Xing,,,,,5,,,,,,,5,,,,,,,,,,4,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,
Yi Hua (Brenda),3,,,,1,5,5,,,,,3,2,,,,,,3,,,,3,,,,,3,,,,4,,,4,,4,,3,,,,3,1,,,,,5,,,,,,,,
Yuan (Raylia),4,,,4,3,,,,,,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuqing,,,,,5,,3,,,,,4,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziwei (Ines),,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,4,,,,,,,,
Ayesha-Cara,4,,,4,5,,4,,,,4,3,5,,,,,,,5,3,,,,,4,,,,4,4,4,,,4,,4,,5,4,,,5,,,,4,,5,,,,,,,,
Di,5,,,,5,,4,,,,,,,,,4,,,,,,,,,,,,1,,,,5,,,5,,,,,,,,,,,,5,,,4,,,,,,,
George,3,,,3,,,,,,,,2,,,,,,,3,3,3,,,,,,,,,3,,,,,,3,,,,,,,,3,,,,,,3,,,,,,,
Tianjiao (Liz),,,,,,,5,,,,,4,,,,4,,,,,4,4,5,5,,,,4,,,3,5,5,4,4,,,,5,3,,,5,5,,,,,3,,,,,,,,
Yuani,4,,,,5,,5,,,,,4,,,,,,,,,,,,,,,,4,,,,5,,,3,,,,3,,3,,,,,,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,2,2,20,32,11,31,3,2,2,6,35,9,3,3,10,2,0,16,14,14,8,13,10,6,7,2,13,12,11,17,20,3,3,32,3,4,2,25,11,12,0,17,18,2,0,21,2,20,8,,,,,,,
